Hypothesis,Reference
"the aim of this study was to determine the relationship between plasma pge2 and chronic active hepatitis . 
 the study group consisted of the patients with chronic active hepatic hepatitis and hepatitis b virus carriers who had been hospitalized or visited the internal medicine department , chonbuk national university hospital from jun. 
 1 ) the patients who were in the recuperative stage or stable stage of chronic hepatitis and group iii consisted of 8 patients who had a diagnosis of hepatitis b by liver biopsy ; group i consisted of 7 normal control subjects who had not been previously exposured to the hepatitis virus or who were asymptomatic but exposed to hepatitis b viruses previously ; group ii consisted of 15 patients who strongly suggested or had chronic active liver disease by clinical manifestation . in group iii , 
 3 ml of 3:3:1 ethyl acetate and 3.0 ml of water were removed by centrifugation and the two phases were separated by aspiration and dried in air at 55c . after drying 0.5 ml assay buffer ( 0.9 nacl ,  0.01 m edta , 0.3% bovine l - globulin , .005% tritonx-100 , 0","prostaglandin e2 ( pge2 ) , one of the major prostaglandins synthesized in human monocyte and macrophage , is able to modulate t lymphocyte reactivity , such as lymphokine secretion and cytotoxicity . some immunologic abnormalities such as alteration in the synthesis of pge2 by monocyte and macrophage or in the response of t lymphocytes to pge2 can be found in clinical disease.we measured the plasma pge2 level in the control group and patients with chronic liver disease.the results were obtained as follows . 
 the mean plasma pge2 level was 2.65  0.69 pg / ml in the control group.the mean plasma pge2 level was 9.07  5.89 pg / ml in 15 patients with chronic active hepatitis and was significantly higher than that of the control group ( p<0.01).the plasma mean pge2 level was 4.65  1.59 pg / ml in 8 patients in the healing stage or stable stage of chronic hepatitis and was tend to decrease 
 . however , this decrease is significantly different from that of the control group.the plasma pge2 level was 3.5  0.92 pg / ml in 4 hepatitis b carriers and was not significantly different from that of the control group ( p<0.05).this results suggest that plasma pge2 can be used for the measurement of cell - mediated immunity and follow - up study in patients with chronic active hepatitis and hepatitis b carriers ."
"the feasibility of target detection in colorectal cancer ( crc ) has been previously demonstrated in mice . 
 however , the question to be addressed is what the best candidate molecule / cell is to target . in this study , 
 intestinal stem cells ( iscs ) were successfully imaged in a single crypt over a few days through aiw . in vivo imaging 
 , lgr5 iscs were observed at an increased number compared to normal crypts and were not located at the base of the crypt . in vitro and in vivo studies , the number of iscs increased in parallel with adenoma - carcinoma progression and generally they migrate upward towards the luminal surface . in addition , the increasing number of stem cells in the crypt was associated with tumourigenesis process .","colorectal cancer ( crc ) is a common cancer and cause of cancer - related death worldwide . 
 although , the step - wise genetic alteration in the course of adenoma - carcinoma progression is well - understood , the mechanism of the tumour initiation and promotion is yet to be elucidated . 
 murine studies indicate that intestinal tumour originates from normal intestinal stem cells which acquire the oncogenic hits . 
 it is plausible to consider the abnormality of the stem cell compartment as the earliest potentially detectable phenotypic change in the course of intestinal tumourigenesis . 
 hereby , it is hypothesised that imaging of the abnormal state of the intestinal stem cell compartment could potentially be integrated in crc screening strategy ."
"a 79-year - old man with a history of tremor with insidious onset and gradual deterioration over years presented with severe postural tremor of both arms worsening with action . 
 the mini mental state examination ( mmse ) was 23 of 28 points at the first clinical examination ( writing a sentence and drawing 2 pentagons was not possible ) , indicating mild primary degenerative dementia . in his medical history was hypertension and diabetes , both for a short period of time and of rather little clinical significance so far . under this medication , tremor gradually and finally rapidly worsened , so that the patient was not able to drink , eat or dress without help , nor was he able to write or draw anymore . at our department , 
 propanolol and primidone cause side effects , especially in the elderly , and interact often with drugs usually used in older people .","this case report demonstrates a satisfying response to topiramate in a 79-year - old patient with disabling essential tremor in whom propranolol as well as primidone had to be discontinued due to severe side effects . 
 after 28 months of topiramate treatment , a clear decline in mini mental state examination ( mmse ) could be observed , stressing the use of care in prescribing topiramate in elderly patients ."
"objective : the purpose of this study was to evaluate the effectiveness of mandibular incisor extraction in a group of patients with bolton discrepancy and mandible crowding using the peer assessment rating index.materials and methods : a total of fourteen patients treated with one mandible extraction were included in this study . 
 pre and post treatment dental casts were used to evaluate pre / post treatment occlusal variables.results:the mean pretreatment par index was reduced from 9.43 to 2.14 . for intra - examiner reliability , one examiner assessed 5 randomly selected cases at two separate time intervals ( 3 weeks ) . to test the hypothesis that the mean improvement in dental occlusion was at least 70% , one - tail one - sample student t - test was used.conclusion:the results of the study are presented in table 1 and indicate that this option is effective in reducing dental crowding .","objective : mandibular incisor extraction in carefully selected cases as an alternative option to four bicuspid extraction or non extraction treatment has been advocated . 
 the purpose of this study was to determine the degree of improvement in occlusion in patients with bolton discrepancy treated by one lower incisor extraction using peer assessment rating index ( par indexes).materials and methods : pre and post treatment dental casts of 14 patients treated with one lower incisor extraction were included in the study . 
 pre and post treatment dental casts were scored with par index . 
 70% reduction in par index was considered as high standard improvement . to test the hypothesis that the mean improvement in dental occlusion after one mandibular incisor extraction is at least 70% , one - tail one - sample student t - test was used.results:the mean improvement in dental occlusion in this group of patients was 78% . 
 fifty percent of the cases finished with a post treatment par score of 2 . 
 spearman correlation coefficient was 0.763 ( p<0.01 ) , showing that more severe cases had greater post treatment par scores.conclusion:mandibular incisor extraction treatment may provide a high standard treatment outcome ."
"a 17year  old male patient was referred to our hospital because of hematuria and left renal trauma grade iv due to a motorbike accident . 
 a ct  scan of the abdomen revealed a grade iv trauma of the left kidney with multifragmentary renal ruptures , a large 7.5 cm retroperitoneal hematoma , and a urinoma . a conservative approach was chosen and broad  spectrum antibiotic administered , as well as bed rest , hydration , clinical monitoring , and urethral catheterization . at the last outpatient control 
 , 1 year after the accident  the patient was free from symptoms , renal function was normal , ct scan showed a left renal function normal , and radionuclide scan revealed a right renal function of 38% and a right kidney function of 62% , and hypertension was not noted . in our patient , 
 renal trauma was managed conservatively , avoiding additional loss of renal parenchyma .","renal trauma occurs in 15% of all trauma cases . 
 the kidney is the most commonly injured genitourinary and abdominal organ.in this case we present a 17year  old patient with a grade iv trauma of the left kidney with renal rupture , hematoma , and urinoma . 
 he was referred to our hospital in hemodynamic stability ; therefore , a conservative approach was chosen.one year after the accident the patient was free from symptoms , and the renal function was normal ; ct  scan revealed neither hematoma nor urinoma.since nothing is known on the long  term outcomes in patients with severe renal traumas , long  term follow up studies are highly recommended ."
"renal ewing sarcoma ( es ) is a rare small round blue cell tumor ( srbct ) , which predominantly affects adolescents and young adults . 
 cytogenetically , renal ess commonly harbor characteristic chromosomal translocations , more than 90% of which are reciprocal translocation t ( 11;22 ) ( q24;q12 ) , resulting in an ewsr1/fli1 fusion transcript . here 
 we report a case of renal es with a t-11;22 ( q22;q13 ) chromosome translocation encoding an ewr1 /fli 1 fusion transcript.the tumor cells in both histological and cytological specimens showed diffuse and strong nuclear immunoreactivity for nkx2.2 , an oncogenic transcriptional target of ewsrin1/ fli1 , which may be a useful immunocytochemical marker for renal es harboring ewsri1/fusion transcript.conclusiona 35-year - old male presented with a 2-week history of abdominal pain and hematuria . computed tomography revealed a large mass ( 15.5cm  13.5 cm  10 cm ) replacing the right kidney and expanding into the","renal ewing sarcoma ( es ) is a rare malignant tumor characterized by fusion of the ewsr1 gene with a member of the ets family of oncogenes , arising at a specific chromosomal translocation . 
 diagnosis of es can be problematic , especially from cytological or small bioptical specimens because the differential diagnoses comprising a diverse group of small round blue cell tumors ( srbcts ) . 
 we report a case of primary renal es in a young male , which had a t(11;22 ) ( q24;q12 ) chromosome translocation encoding a type2 ewsr1/fli1 fusion transcript . 
 the tumor cells showed diffuse cytoplasmic immunoreactivity for cd99 and diffuse nuclear immunoreactivity for nkx2.2 , an important oncogenic transcriptional target of ewsr1/fli1 , not only in the histological , but also in the cytological specimens . from the results of this case , 
 we speculate that nkx2.2 , in combination with cd99 , may be a useful immunocytochemical marker to distinguish renal es from other srbcts of kidney ."
"inflammatory pseudotumor ( ipt ) of the kidney is a rare benign condition with unknown etiology that can mimic malignancy . 
 ipt may develop at several anatomic sites including air passages , gastrointestinal tissues , soft tissues , orbit , spleen , liver , lymph nodes , and kidneys , but ipt occuring at the renal site is extremely rare . in this report , 
 a 59-year - old male patient was admitted to our hospital with complaints of right flank pain and hematuria . increased neutrophil count with normal white blood cell level and high blood urea nitrogen ( bun ) (  82 mg / dl ) and creatinine (  0.6 - 1.2 mg / cdl ) levels were found on laboratory examination . a hypoechoic , heterogeneous , solid renal mass seen on ultrasonography and computed tomography ( ct ) revealed renal malignancies . on the basis of the clinical and radiological findings 
 , the patient had exploratory surgery , since the mass was adhering to the psoas muscle , the surgeon did not resect the mass and the kidney was removed . on histopathologic examination , the mass lesion","inflammatory pseudotumor of the kidney is a rare benign condition with unknown etiology that can mimic malignancy . 
 we report a case of inflammatory pseudotumor of the kidney . 
 a 59-year - old male patient was admitted with a complaint of right flank pain and hematuria . ultrasonography and magnetic resonance imaging of the patient revealed a 9 cm  10 cm mass originating from the renal parenchyma with posterior extension . 
 operative findings revealed a mass adhering to the psoas muscle . 
 histopathologic examination demonstrated spindle - shaped fibroblast cells accompanying inflammatory cells . 
 the pathological diagnosis was renal inflammatory pseudotumor . 
 repeated us and computed tomography revealed complete remission ."
"conjoined twins recognized late in labor is an unfortunate malady associated with very high perinatal mortality and maternal morbidity . 
 such a malady can be easily prevented if a checklist is followed while performing an ultrasound for a multiple pregnancy . a 32-year - old , nulliparous woman with one previous abortion was admitted at 40 weeks of pregnancy with labor pains . she had had a non - consanguineous marriage two years earlier . she was admitted to the labor room at term with pains and draining for half hour.she had been already diagnosed to have a twin pregnancy at 30 weeks of gestation by a general practitioner . the cervix was 3 cm dilated , fully effaced and vertex was at -3 station . the cervical dialation and descent of the first vertex progressed satisfactorily with the partograph line to the left of the alert line 
 . traction on the delivered part did not cause any further descent . neither could the limits of the stalk be made out from the vaginal approach .","conjoined twins are a very rare entity . 
 it is associated with poor survival rate in the presence of vital organ sharing . 
 the entity can be diagnosed as early as the first trimester . 
 a conjoined twin diagnosed late in labor is a malady with high perinatal mortality and maternal morbidity . 
 we present one such case of xiphopagus twins . 
 the management of a case diagnosed late in labor can be very challenging . 
 such obstetric challenges can be avoided by a meticulous early scan with a high index of suspicion , especially in the absence of separating membrane while scanning multiple pregnancies ."
"multiple primary malignancies ( mpms ) are rare and are described mostly as case reports , although there are reports from single institutions and from the registries of certain countries . 
 the mechanism of development of mpms is unclear and likely multifactorial ; identified risk factors include previous cancer treatment , smoking , diet , and genetic mutations . here , we present the case of a 57-year - old woman presenting with melanoma , breast cancer , diffuse large b - cell lymphoma ( dlbcl ) , nodular lymphocyte - predominant hodgkin lymphoma , and a giant cell tumor , with all 5 diagnoses made within 4 months . to our knowledge 
 , this is the first report of multiple mpms in the same patient .","multiple primary malignancies ( mpms ) are present when a patient is diagnosed with more than one primary malignancy and when each tumor is histologically unrelated to the others . 
 mpms are considered synchronous when they present within 6 months of one another . here , 
 we report the case of a 57-year - old woman with a past medical history significant for melanoma in 1988 , who presented in 2014 with 5 distinct tumors within 4 months : malignant melanoma of the right popliteal fossa , invasive lobular breast carcinoma , diffuse large b cell lymphoma , nodular lymphocyte predominant hodgkin lymphoma , and a giant cell tumor of tendon sheath / pigmented villonodular synovitis . 
 we discuss her treatment and also present a brief review of the literature . 
 the incidence of mpms appears to be on the rise , which demands an interdisciplinary , multimodal , and personalized approach to care ."
"intracerebral microdialysis and bedside biochemical monitoring have been performed to monitor the glucose interstitial concentration in diabetic men . 
 the present study shows that insulin caused a significant decrease in the interstitial cerebral glucose concentration in 10 diabetic men utilizing quantitative dynamic positron emission tomography scanning of labeled water ( h2o).the present study showed that insulin did not affect the cerebral blood flow . however , the presented biochemical data , however , do not support this hypothesis . during a gradual decrease in cerebral bloodflow 
 , the oxygen supply to the brain will be insufficient  reflected in an increased lactate / pyruvate ratio  before the supply of substrate is seriously jeopardized .","following subarachnoid hemorrhage , hyperglycemia is strongly associated with complications and with impaired neurological recovery . targeted insulin therapy for glycemic control might , on the contrary , have harmful effects by causing too low cerebral glucose levels . 
 the study published by schlenk and colleagues in the previous issue of critical care shows that insulin caused a significant decrease in the interstitial cerebral glucose concentration although the blood glucose level remained unaffected . since 
 several studies utilizing various analytical techniques have shown that cerebral blood flow and cerebral glucose uptake and metabolism are insulin - independent processes , the observation remains unexplained ."
"a 70 year - old male presented to the emergency department of our institution after being involved in a motor vehicle accident . 
 he had sustained a minor injury of the head ( glasgow coma scale 15/15 ) , the chest ( seat belt burn ) and lower extremities ( bruises).the initial plain radiographs ( anteroposterior and lateral views of the ankle joint ) confirmed the diagnosis of talar dislocation , but also the absence of any fracture . owing that there was no fracture and major neurovascular trauma , an attempt of closed reduction 
 was performed at approximately 1 hours after the injury at the emergency room at approximately 2 hours after it . radiographic ankle views at the initial presentation showing the anterior - lateral dislocation of the knee showed the anterior position of the talus and , finally , dorsiflexion of the foot in a way to redirect the articular line of the 
 ankle joint . the closed reduction was achieved by axial traction of the calcaneus with one hand while the other hand was placed at the dorsal aspect of the midfoot with the foot held in slight plantarflexion for a couple of minutes , followed by lateral compression and external rotation of the lus and","anterior or anterior - lateral dislocation of the ankle is a rare condition that can be treated conservatively as well as any other similar types of ankle dislocations without associated fractures . 
 we present a case report of an anterior - lateral ankle dislocation with a concomitant avulsion injury of the ankle 's anterior capsule in a diabetic patient that was treated conservatively . at the patient 's visit 
 12 months after the initial injury , he was asymptomatic with full range of motion of the ankle joint . to our knowledge 
 , we could not identify this type of an injury in a diabetic patient that was treated successfully with conservative treatment in the existing literature ."
"the use of medicare home health agency ( hha ) benefits rose from 957,400 in 1980 to 1,351,200 in 1983 , an average annual rate of growth of 12.2 percent ; the comparable figure for the period 1983 - 86 was only 5.8 percent . 
 the use of hha services rose from 34 to 45 during the period 1980 - 83 , compared with a rise of only 1.3 percent during the pre - pps period . for the measures presented in table 1 , 
 there was a similar rise in the number of visits per 1,000 enrollees , from 578 for those 65 - 66 years of age to 2,352 for persons 85 years or over , an increase of 273 percent .","presented are 1986 data and trend data ( 1974 - 86 ) on the use and cost of home health agency services rendered to aged and disabled medicare beneficiaries . 
 since 1974 , reimbursements for these services have grown more rapidly than overall medicare expenditures . from 1974 to 1986 , medicare expenditures for these services increased from $ 141 million to $ 1.8 billion , an average annual rate of 24 percent . 
 hha reimbursements , however , continue to represent only a small proportion ( 3.6 percent in 1986 ) of all medicare expenditures ."
"hepatosplenic  t - cell lymphoma ( hstcl ) is a rare , non - immunocompromised lymphoma with predominant occurrence in young male adults and characterized by extranodal infiltration of mature malignant post - thymic t - lymphocytes into sinusoids of the liver and spleen without lymphadenopathy and significant cytopenias . 
 increased numbers of normal t - cells can be found in patients with chronic antigen stimulation , autoimmune disease , post solid organ transplantation ( kidney , liver ) and splenectomy . here 
 we report a case of a 20-year - old woman who presented with acute haematomata in both hands , hepatosplenomegaly and pancytopenia .","hepatosplenic  t - cell lymphoma ( hstcl ) is a very rare peripheral t - cell lymphoma characterized by extranodal infiltration of mature malignant post - thymic t - lymphocytes into sinusoids of the liver and spleen without lymphadenopathy and significant cytopenias . 
 the aetiology of the disease is unknown . 
 we describe the case of a female patient in whom hstcl developed after delivery and who was previously without disease . 
 flow cytometry and liver puncture are essential for diagnosing hstcl , especially in patients with unexplained pancytopenia and hepatosplenomegaly . 
 since phenotypic results can easily be misinterpreted as non - malignant , the examiner should have enough experience to recognize clonal changes of t - lymphocytes . 
 namely , in contrast to b - lymphocytes , t - lymphocytes do not have an efficient indicator of clonality and are recognized by flow cytometry based only on aberrant expression of commonly present antigens of t - cell and nk - cell subsets . at present 
 , there is no known cure for hstcl with a maximum survival up to 2 years ."
"cardiogenic shock ( cs ) during an intervention process , especially in arrhythmia - induced cases , is rare . by reviewing the related literature , we have identified several potential risk predictor variables for cs before intervention performance , including age , heart rate , killip class , previous acute myocardial infarction ( ami ) , and sex . in addition , pci - related injury may be warning signs during the procedure . 
 we suggest that adequate compensation of atrial contractility can be vital to hemodynamics .","an 82-year - old female patient undergoing cardiogenic shock caused by atrioventricular junctional rhythm immediately after percutaneous coronary intervention ( pci ) is described . 
 pharmacotherapy was invalid , and subsequent application of atrial pacing reversed the cardiogenic shock . 
 pci - related injury of sinuatrial nodal artery leading to acute atrial contractility loss , accompanied by atrioventricular junctional arrhythmia , was diagnosed . 
 we recommend that preoperative risk evaluation be required for multi - risk patients . likewise , 
 emergent measures should to be established in advance . 
 this case reminds us that atrial pacing can be an optimal management technique once cardiogenic shock has occurred ."
"the neuronal ceroid lipofuscinoses ( ncls ) are a heterogeneous group of inherited progressive degenerative diseases that affect the brain and sometimes the retina . 
 they are characterized by lysosomal accumulation of autofluorescent lipopigment that display typical ultrastructural patterns . in humans , 
 loss - of - function mutations in atp13a2 cause kufor 
 rakeb syndrome ( krs ) , a very rare form of autosomal - recessive hereditary parkinsonism with dementia and juvenile onset . here 
 , we present a large ncl family from belgium , in which , although extensively studied in the past , no mutation underlying the disease had been identified . in addition , brain magnetic resonance imaging showed global atrophy for both syndromes , while iron deposition is typically seen only in krs .","neuronal ceroid lipofuscinoses ( ncls ) comprise a heterogeneous group of metabolic storage diseases that present with the accumulation of autofluorescent lipopigment , neurodegeneration and premature death . 
 nine genes have been thus far identified as the cause of different types of ncl , with ages at onset ranging from around birth to adult , although the underlying etiology of the disease still remains elusive . 
 we present a family with typical ncl pathology in which we performed exome sequencing and identified a single homozygous mutation in atp13a2 that fully segregates with disease within the family . 
 mutations in atp13a2 are a known cause of kufor  rakeb syndrome ( krs ) , a rare parkinsonian phenotype with juvenile onset . 
 these data show that ncl and krs may share etiological features and implicate the lysosomal pathway in parkinson 's disease ."
"abstractidiopathic focal segmental glomerulosclerosis ( ifsgs ) recurs after renal transplantation in 20% of cases and the chance of recurrence after a second renal transplant exceeds 80% . 
 plasmapheresis ( pp ) is effective in treating this disease but there is evidence that the disease is caused by an incompletely characterized circulating glomerular filtration barrier permeability factor . here 
 , we describe a patient who achieved sustained remission of recurrent ifsfgs after receiving a second kidney transplant with long - term maintenance pp and hco - haemodialysis.a 26-year - old male patient received a second , three human leucocyte antigen ( hla ) mismatched ( a , b and dr ) kidney transplant from a living - related donor in january 2007 . he had a normal renal function without hypoalbuminaemia or proteinuria at the time of donation and remains in good clinical condition with a normal kidney function some 3 years after donation .","a 26-year - old male experienced a recurrence of idiopathic focal segmental glomerulosclerosis ( ifsgs ) after his second renal transplant . 
 reduction of proteinuria was rapidly induced by plasmapheresis ( pp ) and the patient has remained in remission with a once - weekly pp regimen , which has now been continued for > 3 years . 
 we were also able to induce remission of ifsgs in this patient by treatment with high cut - off haemodialysis using the theralite dialyser . 
 this observation lends support for the pathophysiological role of an as yet unknown , circulating glomerular filtration barrier permeability factor with an estimated weight of between 30 and 50 kda ."
"a stepwise high - resolution esophageal pressure topography ( hrept ) analysis algorithm was developed to identify patients with esophagogastric junction ( egj ) pressure morphology and the presence or absence of impaired deglutitive egj relaxation . 
 the analysis of individual swallows based on the criteria in table 1 , the component results are synthesized into a global diagnosis by the chicago classification of the distal esophagusal motility disorders ( gds).the gds classification of gds can now be made with analysis tools available in the current version of manoviewtm analysis software .","esophageal manometry is considered the gold standard for assessing esophageal motor function . although conventional manometry has been widely used to evaluate esophageal motor function , 
 this is not fully satisfactory for explaining esophageal symptoms . 
 high - resolution manometry ( hrm ) is designed to overcome the limitations of conventional manometric systems with advanced technologies . a solid - state hrm assembly with 36 solid - state sensors spaced at 1 cm intervals ( sierra scientific instruments inc . 
 , los angeles , ca , usa ) has been widely used around the world . 
 calibration and post - study thermal correction should be performed at each test . 
 the hrm assembly was passed transnasally and positioned to record from the hypopharynx to the stomach . 
 after a 5 minutes resting period to assess basal sphincter pressure , 5 ml water swallows are obtained in a supine posture . 
 the interpretation of hrm data is still being refined . 
 recently , the hrm classification working group revised the chicago classification based on a systematic analysis of motility patterns in 75 control subjects and 400 consecutive patients . 
 the below will show you a summary of the new chicago classification of distal esophageal motility disorders to provide a practical way of interpreting hrm ."
"hydrocortisone administration has been recognized as a key component of treatment of critically ill patients , with significant impact on morbidity and mortality . however , it has also been shown that these findings are not necessarily applicable to all the clinical situations encountered in critical care . 
 clinicians are often faced with widely varying glucose levels in patients with severe sepsis or septic shock . in this issue of critical care 
 , loisa and coworkers present the first randomized controlled trial on the influence of mode of hydrocorticone administration on glycaemic control in patients suffering from septis . in the present study , they conducted a prospective study in 48 septic - shock patients , who were randomly assigned to receive either four times daily 50 mg hydrocortexisone boluses or the same dosage as a continuous infusion . in addition , blood glucose was recorded every 2 hours and insulin titrated to blood glucose levels of 4 to 7 mmol / l ( 72 to 126 mg / dl ) . the frequency of insulin adjustments was documented and used as a measure of staff workload.the results of this study suggest that the use of low - dose hydrocortsone therapy may increase the risk of hyperglycaemia in septic","constantly evolving treatment guidelines based on a growing body of randomized controlled trials are helping us to improve outcomes in sepsis . 
 however , it must be borne in mind that proven benefit from individual sepsis treatments does not guarantee synergistic beneficial effects when new treatments are added to sepsis management . 
 indeed , unexpected harmful interactions are also possible . 
 a good example of this is the conflict between intensive insulin therapy and ' low dose ' hydrocortisone in septic shock . the goal of tight glycaemic control is made more complicated by steroid - induced hyperglycaemia . in their recent study , loisa and coworkers demonstrate a measure that reduces the risk for this interaction . 
 they found continuous infusion of hydrocortisone to be associated with fewer hyperglycaemic episodes and reduced staff workload compared with bolus application ."
"a 59-year - old man was admitted to the hospital because of a 3-month - history of huge abdominal palpable mass in the right lower quadrant . 
 a magnetic resonance imaging of the abdomen revealed a well - defined heterogeneously enhanced giant mass involving the lower abdomen adjacent to the jejunum . the suspected preoperative diagnosis was a sort of mesenteric or omental tumor , such as gastrointestinal stromal tumor ( gist ) , hemangiopericytoma or leiomyosarcoma . however the rt - pcr was carried out under the following thermocycling conditions : 35 amplification cycles , each consisting of denaturation at 94 for 30 seconds , annealing at 61 and 30 seconds and elongation at 72 for 90 seconds , with an extension of 72 for 1 minute . 

 the tumor cells were positive for transducin - like enhancer of split 1 ( tle1 ) , cytokeratin ae1/ae3 ( 1:400 , biogenex , san ramon , ca , usa ) , calretinin ( predilution , labvision , neomarkers ) and cd117 ( 1.200 , dako ) .","synovial sarcoma arises in the para - articular tissues , and it can also occur in various unexpected sites . 
 we report a rare case of primary monophasic synovial sarcoma ( mss ) arising in the mesentery . a 59-year - old man presented with a palpable abdominal mass . on microscopic examination , 
 the entire tumor comprised a dense proliferation of the spindle cells without epithelial components . 
 the tumor cells were positive for transducin - like enhancer of split 1 , bcl-2 , epithelial membrane antigen and cd99 but negative for cd34 , cd117 , alpha - smooth muscle actin , cytokeratin , and calretinin on immunohistochemistry . 
 the reverse transcriptase - polymerase chain reaction revealed a single 151-bp fragment representing the syt - ssx2 fusion transcript . because mesenteric mss is extremely rare and many cases display histologic findings that overlap with those of more frequently involved tumors such as hemangiopericytoma and gastrointestinal stromal tumor , there is a chance of making an incorrect diagnosis that can result in an inappropriate treatment ."
"objective : to evaluate the efficacy of posterior iris claw implantation ( ppv ) in patients with posteriorly dislocated nucleus , lens or iol following cataract surgery.materials and methods : a retrospective interventional case series was performed in 15 patients who underwent ppv . 
 all surgeries were performed under peribulbar anesthesia . for a lens or nucleus dislocated into the vitreous cavity , standard 20-gauge three - port ppv 
 was performed followed by nucleus or lens removal with an ultrasonic fragmenter . in case of iol in vitreos cavity 
 , ppv was done and iol was removed with a lens fixation forceps.results:a total of 15 patients were included in the study.conclusion:this study suggests that ppv is a safe and effective method for the removal of dislocation of lens , nucleus , iol and lens .","we evaluated the safety and efficacy of pars plana vitrectomy ( ppv ) with primary posterior iris claw intraocular lens ( iol ) implantation in cases of posterior dislocation of nucleus and iol without capsular support . 
 this was a retrospective interventional case series . 
 fifteen eyes underwent ppv with primary posterior iris claw iol implantation performed by a single vitreoretinal surgeon . 
 the main outcome measures were changes in best corrected visual acuity and anterior and posterior segment complications . 
 a total of 15 eyes were included in this study . 
 eight had nucleus drop , three had iol drop during cataract surgery and four had traumatic posterior dislocation of lens . 
 the final postoperative best corrected visual acuity was 20/60 or better in 11 patients . 
 this procedure is a viable option in achieving good functional visual acuity in eyes without capsular support ."
"background : the prevalence of comorbidity of depression and alcohol use disorders ( aud ) has been demonstrated in a number of researches . 
 depression in an alcohol - dependent person has been reported to not only lower the resolve to resisting alcohol use , but may also lead to use of alcohol to relive the depressive symptoms.objective:the objective of the study was to determine the association between alcohol use disorder identification test ( audit )   positive participants and comorbic depression.materials and methods : the data is part of that collected in a prospective study conducted in the west nairobi area of the university of kairo in 2008.results:a total of 188 alcohol - use disorder  positive subjects were included in the study . in the audit 
 , there was a statistically significant correlation between the study participants ' level of alcohol dependence , demographic characteristics , or illness - related variables.conclusion:the study showed that there was positive correlation between major depressive illness , panic disorder , and alcohol abuse among patients admitted at the main referral psychiatric hospital.conclusions:although the cooccurrence of depression 
 has been confirmed by several studies , the relationship between the two disorders has been difficult to describe .","the presence of depression in alcohol - dependent persons is likely to influence treatment process and outcomes . 
 identification of depression is important though not every depressed alcohol - dependent person requires treatment with antidepressants . 
 understanding the association between depression and alcohol dependence is essential for proper management of alcohol dependence . objectives . to determine the prevalence of depression among alcohol - dependent persons before and after alcohol detoxification and rehabilitation . design . 
 clinical trial with pre-/postmeasurements . method . 
 the cidi and who - assist were administered to 188 alcohol - dependent persons at intake and after six months . 
 a researcher - designed sociodemographic questionnaire was also administered at intake 
 . results . 
 the prevalence of depression among alcohol - dependent persons is high ( 63.8% ) with a significant association between depression and the mean audit score . at posttest , 
 depressed participants had a statistically significant craving for alcohol . 
 conclusion . 
 alcohol dependence is associated with major depression ."
"atrial fibrillation ( af ) is a common cardiac arrhythmia that affects two to three million people worldwide . 
 it is associated with significant morbidity and is also an independent risk factor for mortality . in the yoga my heart study , the authors tested the hypothesis that yoga could reduce af symptoms and improve quality of life ( qol ) , mental health , physical functioning , depression , and anxiety . for the first 3 months 
 , patients continued standard af aad therapy , followed by 3 months of 60-min biweekly yoga sessions . for 3 months , 
 the primary outcome was a composite of the reductions in symptomatic af , symptomatic non - af , and asymptomatic af episodes as recorded by a diary and correlated with a non - looping event monitor . in addition , there were significant decreases in heart rate and systolic and diastolic blood pressure after yoga training ( p<0.001 ) .","atrial fibrillation is a common arrhythmia affecting thousands of individuals worldwide . 
 it is a conduction disorder that causes the heart to beat irregularly and rapidly . 
 there are a few medical approaches to manage this costly health care burden : antiarrhythmics to maintain normal sinus rhythm , beta blockers to achieve rate control while allowing atrial fibrillation to persist , and electro - physiologic intervention for rate and rhythm control . 
 these treatments can be costly and are not without side effects . 
 yoga , an intervention that is available to people worldwide , has shown some promise in combating this widespread heart disorder ."
"the amp - activated protein kinase ( ampk ) regulates ion channel activity . 
 ampk is a ubiquitously expressed ser / thr kinase , which exists as a heterotrimer composed of a catalytic -subunit and regulatory - and -subunits . in addition to its effects on cellular metabolism , ampk also influences a great deal of cellular processes including cell growth and division , apoptosis , gene transcription , protein synthesis and cell polarization . in this review 
 , we will focus on one of the more recently recognized functions of ampk , which is its impact on ion channel activation .","ion transport processes are highly energy consuming . 
 it is therefore critical to couple ion transport processes to the metabolic state of the cell . 
 an important player in this coupling appears to be the amp - activated protein kinase ( ampk ) . 
 this kinase becomes activated during conditions of cellular metabolic stress and is well - known for its role in promoting atp - generating catabolic pathways while turning off atp - utilizing anabolic pathways . 
 over the past decade ampk has also emerged as a key regulator of ion channel activity as an increasing number of ion channels are reported to be either directly or indirectly regulated by the kinase . 
 ampk therefore provides a necessary link between cellular energy levels and ion channel activity ."
"salmonella enterica isolates collected during 20032007 from finnish travelers returning from abroad were analyzed using a logistic regression model with year as a covariate . 
 ciprofloxacin susceptibility and quinolone resistance decreased significantly during the study period , from 39% in 2003 to 22% in 2007 ( p = 0.012 ) .","we tested the fluoroquinolone susceptibility of 499 salmonella enterica isolates collected from travelers returning to finland during 20032007 . among isolates from travelers to thailand and malaysia , reduced fluoroquinolone susceptibility decreased from 65% to 22% ( p = 0.002 ) . 
 all isolates showing nonclassical quinolone resistance were from travelers to these 2 countries ."
